Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
diū,for a long time,361,Adverb,,for a long time,1
"dīversus, dīversa, dīversum","different, diverse",641,Adjective,,"different, diverse",1
"dīves, {(gen.)} dīvitis",rich,564,"Adjective, Noun",,rich,1
"dīvidō, dīvidere, dīvīsī, dīvīsum",to divide,628,Verb,,to divide,1
"dō, dare, dedī, datum","to give; to press {(of kisses, *ōscula*)}; to pay {(of punishment, *poenās*)}",28,Verb,,"to give ‖ to press {(of kisses, *ōscula*)} ‖ to pay {(of punishment, *poenās*)}",1
"doceō, docēre, docuī, doctum",to teach,393,Verb,,to teach,1
"doleō, dolēre, doluī, dolitum",to feel pain,785,Verb,,to feel pain,1
"dominus, dominī, {m.}",master,241,Noun,,master,1
"domus, domūs, {f.}","house, home",73,Noun,,"house, home",1
"dōnum, dōnī, {n.}",gift,476,Noun,,gift,1
"dormiō, dormīre, dormīvī, dormītum",to sleep,975,Verb,,to sleep,1
"dūcō, dūcere, dūxī, ductum",to lead,133,Verb,,to lead,1
"duo, duae, duo",two,221,Adjective,,two,1
"dux, ducis, {m./f.}",leader,239,Noun,,leader,1
ecce,behold,643,Interjection,,behold,1
"effugiō, effugere, effūgī",to escape,0,Verb,,to escape,1
"ego, meī, mihī̆, mē, mē",I,11,Pronoun,,I,1
eheu,oh no! oh dear!,0,Interjection,,oh no! oh dear!,1
"ēligō, ēligere, ēlēgī, ēlēctum",to choose,942,Verb,,to choose,1
"ēmittō, ēmittere, ēmīsī, ēmissum","to send out, throw; to release {(of a captive)}",0,Verb,,"to send out, throw ‖ to release {(of a captive)}",1
"eō, īre, īvī / iī, itum",to go,97,Verb,,to go,1
"eques, equitis, {m.}",(horse) rider,296,Noun,,(horse) rider,1
"equus, equī, {m.}",horse,248,Noun,,horse,1
ergō,therefore,134,Conjunction,,therefore,1
et,and,1,Conjunction,,and,1
etiam,also; even,67,"Adverb, Conjunction",,also ‖ even,1
"Etrūscus, Etrūsca, Etrūscum",Etruscan,0,Adjective,,Etruscan,1
"ē, ex",out of; of {(with a number)},26,Preposition,,out of ‖ of {(with a number)},1
"excitō, excitāre, excitāvī, excitātum",to stir up,0,Verb,,to stir up,1
"exerceō, exercēre, exercuī, exercitum","to practice; to exercise {(of power, *potestātem*)}",576,Verb,,"to practice ‖ to exercise {(of power, *potestātem*)}",1
"exercitus, exercitūs, {m.}",army,267,Noun,,army,1
"expellō, expellere, expulī, expulsus",to drive out,0,Verb,,to drive out,1
"exsilium, exsiliī, {n.}",exile,794,Noun,,exile,1
"fābula, fābulae, {f.}",story; play,966,Noun,,story ‖ play,1
"faciō, facere, fēcī, factum",to make; to do,32,Verb,,to make ‖ to do,1
"fallō, fallere, fefellī, falsum",to deceive,503,Verb,,to deceive,1
"falsus, falsa, falsum","false, fake",633,Adjective,,"false, fake",1
"famēs, famis, {f.}","hunger, famine",828,Noun,,"hunger, famine",1
"familia, familiae, {f.}",family,943,Noun,,family,1
"fēmina, fēminae, {f.}",woman,501,Noun,,woman,1
"ferō, ferre, tulī, lātum","to bring, bear, carry",45,Verb,,"to bring, bear, carry",1
"fidēlis, fidēle","faithful, trustworthy, loyal",979,Adjective,,"faithful, trustworthy, loyal",1
"fidēs, fideī, {f.}",faith(fulness); trust,184,Noun,,faith(fulness) ‖ trust,1
"fīlia, fīliae, {f.}",daughter,909,Noun,,daughter,1
"fīlius, fīliī, {m.}",son,909,Noun,,son,1
"fīō, fierī, factus sum",to be made,146,Verb,,to be made,1
"flamma, flammae, {f.}",flame,298,Noun,,flame,1
"flētus, flētūs, {m.}",weeping,0,Noun,,weeping,1
"flōs, flōris, {m.}",flower,818,Noun,,flower,1
"flūmen, flūminis, {n.}",river,283,Noun,,river,1
fortasse,"maybe, perhaps",833,Adverb,,"maybe, perhaps",1
"fortis, forte",brave; strong,286,Adjective,,brave ‖ strong,1
fortiter,bravely,0,Adverb,,bravely,1
"fortūna, fortūnae, {f.}",fortune,138,Noun,,fortune,1
"forum, forī, {n.}",forum,811,Noun,,forum,1
"fossa, fossae, {f.}",ditch,0,Noun,,ditch,1
"frangō, frangere, frēgī, frāctum",break,345,Verb,,break,1
"frāter, frātris, {m.}",brother,225,Noun,,brother,1
"frūmentum, frūmentī, {n.}",grain,936,Noun,,grain,1
